SYMBOL	cell_1	cell_2	cell_3	cell_4	cell_5	cell_6	cell_7	cell_8	cell_9	cell_10	cell_11	cell_12	cell_13	cell_14	cell_15	cell_16	cell_17	cell_18	cell_19	cell_20
LINC00115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM41C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NOC2L	0.0	0.0	0.0	0.0	0.0	0.0	1.816774606704712	0.0	0.0	0.0	0.0	0.0	0.0	1.2977335453033447	0.0	0.0	0.0	0.0	0.5893911719322205	0.0
KLHL17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HES4	0.0	0.0	0.0	1.7861565351486206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ISG15	0.0	0.0	0.0	1.7861565351486206	0.0	0.0	0.0	0.0	0.0	0.0	1.0008443593978882	0.0	0.0	0.0	0.727537214756012	0.0	0.0	0.0	0.9577323794364929	0.0
AGRN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727537214756012	0.0	0.0	0.0	0.5893911719322205	0.0
TTLL10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SDF4	0.0	1.6506808996200562	0.6274906992912292	1.2479623556137085	1.3090629577636719	0.0	0.0	0.0	0.9853305816650391	1.3457090854644775	0.0	0.9735955595970154	0.0	0.0	0.0	1.2057256698608398	1.9204622507095337	0.0	0.0	0.0
B3GALT6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79635751247406	0.0	0.0
UBE2J2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727537214756012	0.0	0.0	0.0	0.9577323794364929	0.0
SCNN1D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727537214756012	0.0	0.0	0.0	0.5893911719322205	0.0
PUSL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727537214756012	0.0	1.9204622507095337	0.0	0.0	0.0
DVL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AURKAIP1	0.0	0.0	0.0	1.2479623556137085	0.0	0.0	0.0	1.4604673385620117	0.9853305816650391	0.0	1.4909147024154663	0.9735955595970154	2.0444552898406982	0.0	1.1442078351974487	0.774538516998291	0.0	0.0	1.2263225317001343	1.4402259588241577
CCNL2	0.0	0.0	0.0	0.0	0.0	0.0	1.816774606704712	0.0	0.9853305816650391	0.0	0.0	0.0	0.0	0.0	0.0	0.774538516998291	0.0	0.0	0.5893911719322205	0.0
MRPL20	0.0	0.0	1.0100761651992798	0.0	0.0	0.8874713182449341	0.0	0.0	0.9853305816650391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2263225317001343	0.0
ATAD3C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATAD3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0444552898406982	0.0	0.0	0.0	0.0	0.0	0.5893911719322205	0.0
ATAD3A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72	0.0	0.0	0.6274906992912292	0.0	1.3090629577636719	0.0	0.0	0.0	0.0	0.0	0.0	1.7821029424667358	0.0	0.0	0.727537214756012	1.2057256698608398	0.0	0.0	0.9577323794364929	0.0
